variations;Encryption Choice;Deployment Location Database A;Data Sensivity Choice;Database Choice;Deployment Location Backup Service
configuration_19;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_20;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_21;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_22;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_23;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition1 _pkkcYDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_24;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_25;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_26;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_27;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;0;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_28;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_29;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer EU _qvz80ITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_30;GuardedBranchEncrypted __hDyMCtoEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
configuration_31;GuardedBranchUnencrypted _T4ryoCtpEe2NjrAZnTrfBw;CloudServer NonEU _upfkIITgEeywmO_IpTxeAg;1;GuardedBranchTransition2 __Bw9wDzlEe2J7qsIELsCWg;GarageServer EU _lpYxsD0QEe2J7qsIELsCWg
